[2026-09-24 | 20:45:09] INFO     [scrapers.streamcenter] URL 38) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:45:09] INFO     [scrapers.streamcenter] Collected and cached 38 event(s)                                       (streamcenter.py:172)
[2026-09-24 | 20:45:10] INFO     [scrapers.tvf90] URL 59) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:10] INFO     [scrapers.tvf90] URL 60) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:10] INFO     [scrapers.webcast] URL 24) Captured M3U8                                                  (webcast.py:94)
[2026-09-24 | 20:45:10] INFO     [scrapers.webcast] Collected and cached 24 event(s)                                       (webcast.py:192)
[2026-09-24 | 20:45:11] INFO     [scrapers.tvf90] URL 61) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:11] INFO     [scrapers.tvf90] URL 62) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:11] INFO     [scrapers.tvf90] URL 63) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:12] INFO     [scrapers.tvf90] URL 64) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:12] INFO     [scrapers.tvf90] URL 65) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:12] INFO     [scrapers.tvf90] URL 66) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:13] INFO     [scrapers.tvf90] URL 67) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:13] INFO     [scrapers.tvf90] URL 68) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:14] INFO     [scrapers.tvf90] URL 69) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:14] INFO     [scrapers.tvf90] URL 70) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:14] INFO     [scrapers.tvf90] URL 71) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:15] INFO     [scrapers.tvf90] URL 72) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:15] INFO     [scrapers.tvf90] Collected and cached 71 event(s)                                       (tvf90.py:174)
[2026-09-24 | 20:45:15] INFO     [fetch] Base + Events saved to X:\Github\vivatvsports\m3u8\androidtv.m3u8      (fetch.py:139)
[2026-09-24 | 20:45:15] INFO     [fetch] Events saved to X:\Github\vivatvsports\m3u8\events.m3u8                (fetch.py:147)
